iter	Passed	Remaining
410	4019	5760
411	4028	5749
412	4038	5739
413	4046	5728
414	4055	5716
415	4063	5704
416	4072	5693
417	4081	5682
418	4090	5671
419	4099	5660
420	4108	5650
421	4117	5639
422	4126	5629
423	4136	5619
424	4144	5607
425	4153	5596
426	4162	5585
427	4171	5574
428	4181	5564
429	4190	5555
430	4200	5545
431	4209	5535
432	4218	5523
433	4227	5512
434	4235	5501
435	4244	5490
436	4252	5478
437	4262	5469
438	4271	5458
439	4279	5446
440	4288	5435
441	4296	5424
442	4307	5415
443	4315	5404
444	4324	5393
445	4333	5382
446	4342	5371
447	4350	5360
448	4359	5349
449	4368	5339
450	4376	5327
451	4385	5317
452	4394	5306
453	4404	5296
454	4413	5286
455	4422	5275
456	4431	5265
457	4441	5255
458	4450	5245
459	4459	5235
460	4467	5223
461	4477	5213
462	4485	5202
463	4494	5191
464	4503	5181
465	4511	5170
466	4521	5160
467	4531	5151
468	4541	5141
469	4549	5130
470	4559	5120
471	4568	5110
472	4577	5099
473	4585	5088
474	4593	5077
475	4602	5067
476	4611	5056
477	4622	5047
478	4631	5037
479	4640	5027
480	4649	5017
481	4659	5007
482	4669	4998
483	4678	4988
484	4687	4977
485	4712	4983
486	4721	4973
487	4729	4962
488	4738	4951
489	4746	4940
490	4755	4929
491	4763	4918
492	4772	4907
493	4781	4897
494	4793	4890
495	4805	4882
496	4814	4873
497	4824	4862
498	4833	4853
499	4843	4843
500	4853	4834
501	4862	4823
502	4872	4813
503	4880	4803
504	4890	4793
505	4898	4782
506	4908	4772
507	4916	4761
508	4925	4751
509	4934	4741
510	4944	4731
511	4953	4721
512	4962	4711
513	4970	4700
514	4979	4689
515	4988	4678
516	4996	4667
517	5005	4657
518	5014	4646
519	5022	4636
520	5031	4625
521	5039	4614
522	5047	4603
523	5056	4592
524	5065	4582
525	5073	4572
526	5082	4561
527	5090	4551
528	5099	4540
529	5108	4529
530	5118	4520
531	5126	4510
532	5135	4499
533	5143	4488
534	5152	4478
535	5161	4468
536	5171	4458
537	5179	4447
538	5189	4438
539	5197	4427
540	5206	4417
541	5214	4406
542	5223	4396
543	5232	4386
544	5241	4376
545	5251	4366
546	5261	4357
547	5270	4347
548	5280	4337
549	5289	4328
550	5299	4318
551	5307	4307
552	5317	4298
553	5326	4288
554	5335	4278
555	5344	4268
556	5353	4257
557	5362	4247
558	5370	4236
559	5378	4226
560	5387	4216
561	5396	4205
562	5404	4195
563	5414	4185
564	5422	4174
565	5431	4164
566	5440	4154
567	5448	4143
568	5457	4134
569	5466	4123
570	5475	4113
571	5484	4104
572	5493	4094
573	5503	4084
574	5512	4074
575	5520	4064
576	5529	4053
577	5537	4043
578	5546	4033
579	5554	4022
580	5563	4012
581	5571	4001
582	5579	3991
583	5588	3981
584	5597	3970
585	5606	3960
586	5614	3950
587	5624	3941
588	5634	3931
589	5645	3922
590	5655	3913
591	5664	3904
592	5673	3894
593	5683	3884
594	5692	3875
595	5702	3865
596	5712	3855
597	5721	3846
598	5731	3837
599	5740	3827
600	5749	3817
601	5759	3807
602	5767	3797
603	5776	3787
604	5785	3777
605	5794	3767
606	5803	3757
607	5813	3748
608	5822	3738
609	5831	3728
610	5841	3718
611	5850	3709
612	5860	3699
613	5869	3689
614	5878	3679
615	5887	3669
616	5896	3660
617	5905	3650
618	5916	3641
619	5925	3631
620	5935	3622
621	5945	3613
622	5955	3603
623	5963	3593
624	5972	3583
625	5980	3573
626	5990	3563
627	5998	3553
628	6007	3543
629	6016	3533
630	6024	3523
631	6033	3513
632	6041	3502
633	6050	3493
634	6059	3483
635	6069	3473
636	6078	3463
637	6087	3453
638	6096	3444
639	6106	3435
640	6116	3425
641	6126	3416
642	6136	3406
643	6146	3397
644	6157	3388
645	6165	3378
646	6175	3369
647	6184	3359
648	6194	3350
649	6204	3340
650	6213	3331
651	6222	3321
652	6231	3311
653	6240	3301
654	6249	3291
655	6258	3281
656	6268	3272
657	6277	3262
658	6286	3253
659	6295	3243
660	6303	3232
661	6311	3222
662	6320	3212
663	6329	3202
664	6338	3193
665	6347	3183
666	6357	3173
667	6366	3163
668	6375	3154
669	6384	3144
670	6393	3134
671	6401	3124
672	6410	3114
673	6419	3104
674	6429	3095
675	6437	3085
676	6445	3075
677	6454	3065
678	6463	3055
679	6472	3045
680	6482	3036
681	6491	3026
682	6500	3017
683	6509	3007
684	6517	2997
685	6526	2987
686	6534	2977
687	6543	2967
688	6552	2957
689	6561	2947
690	6569	2937
691	6579	2928
692	6588	2918
693	6598	2909
694	6608	2900
695	6617	2890
696	6626	2880
697	6635	2871
698	6644	2861
699	6653	2851
700	6662	2841
701	6671	2832
702	6681	2822
703	6691	2813
704	6700	2803
705	6709	2793
706	6718	2784
707	6726	2774
708	6735	2764
709	6744	2754
710	6753	2744
711	6761	2735
712	6770	2725
713	6778	2715
714	6786	2705
715	6795	2695
716	6804	2685
717	6813	2675
718	6822	2666
719	6831	2656
720	6839	2646
721	6848	2636
722	6856	2626
723	6864	2616
724	6874	2607
725	6883	2597
726	6892	2588
727	6901	2578
728	6909	2568
729	6918	2558
730	6926	2549
731	6936	2539
732	6946	2530
733	6955	2520
734	6964	2511
735	6973	2501
736	6982	2491
737	6990	2481
738	6999	2471
739	7007	2462
740	7016	2452
741	7025	2442
742	7033	2432
743	7042	2423
744	7050	2413
745	7059	2403
746	7068	2394
747	7076	2384
748	7086	2374
749	7094	2364
750	7102	2354
751	7111	2345
752	7120	2335
753	7129	2326
754	7138	2316
755	7146	2306
756	7155	2297
757	7164	2287
758	7172	2277
759	7180	2267
760	7189	2258
761	7198	2248
762	7207	2238
763	7216	2229
764	7224	2219
765	7233	2209
766	7242	2200
767	7250	2190
768	7259	2180
769	7267	2170
770	7276	2161
771	7284	2151
772	7293	2141
773	7302	2132
774	7310	2122
775	7318	2112
776	7326	2102
777	7335	2093
778	7343	2083
779	7351	2073
780	7361	2064
781	7369	2054
782	7377	2044
783	7386	2035
784	7395	2025
785	7404	2015
786	7413	2006
787	7421	1996
788	7430	1987
789	7439	1977
790	7449	1968
791	7457	1958
792	7466	1949
793	7476	1939
794	7485	1930
795	7494	1920
796	7503	1911
797	7511	1901
798	7520	1891
799	7529	1882
800	7538	1872
801	7546	1863
802	7555	1853
803	7564	1844
804	7572	1834
805	7581	1824
806	7589	1815
807	7598	1805
808	7608	1796
809	7618	1787
810	7627	1777
811	7637	1768
812	7646	1758
813	7655	1749
814	7665	1739
815	7673	1730
816	7683	1721
817	7692	1711
818	7701	1702
819	7710	1692
820	7719	1683
821	7727	1673
822	7737	1663
823	7747	1654
824	7759	1645
825	7769	1636
826	7778	1627
827	7788	1617
828	7798	1608
829	7807	1599
830	7816	1589
831	7825	1580
832	7834	1570
833	7843	1561
834	7853	1551
835	7863	1542
836	7871	1532
837	7880	1523
838	7888	1513
839	7897	1504
840	7906	1494
841	7914	1485
842	7923	1475
843	7931	1466
844	7940	1456
845	7949	1447
846	7959	1437
847	7968	1428
848	7977	1418
849	7986	1409
850	7995	1399
851	8003	1390
852	8012	1380
853	8020	1371
854	8029	1361
855	8038	1352
856	8046	1342
857	8055	1333
858	8065	1323
859	8074	1314
860	8082	1304
861	8092	1295
862	8100	1286
863	8109	1276
864	8117	1266
865	8126	1257
866	8135	1248
867	8143	1238
868	8152	1228
869	8161	1219
870	8169	1209
871	8178	1200
872	8186	1190
873	8196	1181
874	8206	1172
875	8215	1162
876	8223	1153
877	8232	1143
878	8241	1134
879	8249	1124
880	8258	1115
881	8266	1105
882	8275	1096
883	8284	1087
884	8293	1077
885	8302	1068
886	8311	1058
887	8321	1049
888	8331	1040
889	8341	1031
890	8351	1021
891	8361	1012
892	8370	1002
893	8379	993
894	8388	984
895	8397	974
896	8407	965
897	8416	955
898	8425	946
899	8434	937
900	8444	927
901	8453	918
902	8463	909
903	8472	899
904	8481	890
905	8491	881
906	8500	871
907	8509	862
908	8519	852
909	8529	843
910	8537	834
911	8547	824
912	8557	815
913	8567	806
914	8579	796
915	8589	787
916	8598	778
917	8606	768
918	8615	759
919	8625	750
920	8634	740
921	8644	731
922	8653	721
923	8663	712
924	8672	703
925	8681	693
926	8691	684
927	8700	675
928	8709	665
929	8718	656
930	8727	646
931	8735	637
932	8744	627
933	8754	618
934	8764	609
935	8772	599
936	8781	590
937	8790	581
938	8799	571
939	8814	562
940	8823	553
941	8831	543
942	8840	534
943	8849	524
944	8858	515
945	8867	506
946	8875	496
947	8884	487
948	8893	477
949	8902	468
950	8911	459
951	8920	449
952	8929	440
953	8937	430
954	8947	421
955	8956	412
956	8967	402
957	8976	393
958	8985	384
959	8994	374
960	9004	365
961	9015	356
962	9024	346
963	9032	337
964	9042	327
965	9051	318
966	9061	309
967	9070	299
968	9080	290
969	9089	281
970	9098	271
971	9107	262
972	9115	252
973	9124	243
974	9133	234
975	9142	224
976	9151	215
977	9160	206
978	9170	196
979	9179	187
980	9187	177
981	9197	168
982	9206	159
983	9215	149
984	9223	140
985	9234	131
986	9243	121
987	9251	112
988	9261	103
989	9270	93
990	9279	84
991	9287	74
992	9296	65
993	9305	56
994	9315	46
995	9323	37
996	9332	28
997	9341	18
998	9350	9
999	9358	0
