iter	Logloss
0	0.6432279128
1	0.5812994971
2	0.5456058858
3	0.5057412865
4	0.4834597465
5	0.4630845043
6	0.4345400494
7	0.4118878635
8	0.3914780625
9	0.3740681486
10	0.3519399031
11	0.3381147153
12	0.3157556097
13	0.3060166277
14	0.2959318109
15	0.2858621681
16	0.2714824442
17	0.2580504956
18	0.251204563
19	0.2413596707
20	0.235484289
21	0.2277831671
22	0.2114762235
23	0.2001383472
24	0.1932091328
25	0.1882970072
26	0.1822406634
27	0.1749606467
28	0.1705974428
29	0.1651700204
30	0.1625103446
31	0.1588775316
32	0.1549284145
33	0.1508752245
34	0.1480352664
35	0.1438089724
36	0.1414510515
37	0.1379220711
38	0.1353292927
39	0.1325538428
40	0.1294895327
41	0.125705213
42	0.1233834369
43	0.1219547115
44	0.1206492231
45	0.1175181917
46	0.1158972806
47	0.1132240377
48	0.1098237605
49	0.1071806486
50	0.1051174418
51	0.1036184347
52	0.1022929162
53	0.100969862
54	0.09965366756
55	0.09838630656
56	0.09709652601
57	0.0959109906
58	0.09455279066
59	0.09280609615
60	0.09147912347
61	0.09035034137
62	0.08873856664
63	0.08763793143
64	0.08574565353
65	0.08505774092
66	0.08384863425
67	0.08148241444
68	0.0802991533
69	0.07914203088
70	0.07713637135
71	0.07600530892
72	0.07437838913
73	0.07287035651
74	0.07150600258
75	0.07004439371
76	0.06857804327
77	0.06678188053
78	0.06579036807
79	0.06496510093
80	0.06430411828
81	0.06347532278
82	0.06244443537
83	0.06116461969
84	0.06044171412
85	0.05982582123
86	0.05892870561
87	0.05777256444
88	0.05696743604
89	0.05594710046
90	0.05525420052
91	0.05475460085
92	0.0540736591
93	0.05336207518
94	0.05263334664
95	0.05180277279
96	0.05109174218
97	0.05057842405
98	0.05009591462
99	0.04933865184
100	0.04774717633
101	0.04711279535
102	0.04630466706
103	0.04523232787
104	0.04470883793
105	0.04380045444
106	0.04268585795
107	0.04194321096
108	0.04111050337
109	0.04042676055
110	0.03962627085
111	0.03878870384
112	0.03801466296
113	0.03753454104
114	0.0369377057
115	0.03618289468
116	0.03579353484
117	0.03512005546
118	0.03466042033
119	0.0341633037
120	0.03336637366
121	0.03277897698
122	0.03199010369
123	0.03149209167
124	0.03100476801
125	0.03054532719
126	0.03019733797
127	0.02990729834
128	0.02949433468
129	0.02923036482
130	0.02888352055
131	0.02836004567
132	0.02794708239
133	0.02757520144
134	0.02706911664
135	0.02664484853
136	0.02619990626
137	0.02577687972
138	0.02514433685
139	0.02482328384
140	0.02432024821
141	0.02403095416
142	0.02362041947
143	0.0231814005
144	0.0228174343
145	0.02261273151
146	0.02226743628
147	0.02203417235
148	0.02181867403
149	0.02143659369
150	0.02122083974
151	0.02086863936
152	0.02047533535
153	0.02009697563
154	0.01989265325
155	0.01977903184
156	0.01949293619
157	0.01906891315
158	0.01873928841
159	0.01860927029
160	0.01835024699
161	0.01828148621
162	0.01813223188
