Model,Accuracy,Precision,Recall,F1-score
XGBoost,0.9639344262295082,0.9801980198019802,0.9488817891373802,0.9642857142857143
CatBoost,0.9606557377049181,0.976897689768977,0.9456869009584664,0.961038961038961
LightGBM,0.9639344262295082,0.9739413680781759,0.9552715654952076,0.964516129032258
RandomForest,0.9688524590163935,0.9711538461538461,0.9680511182108626,0.9696
LSVM,0.760655737704918,0.8036363636363636,0.7060702875399361,0.7517006802721088
LogisticRegression,0.8459016393442623,0.8613861386138614,0.8338658146964856,0.8474025974025974
KNN,0.8360655737704918,1.0,0.6805111821086262,0.8098859315589354
GradientBoosting,0.9393442622950819,0.9662162162162162,0.9137380191693291,0.9392446633825944
NaiveBayes,0.8803278688524591,0.9026845637583892,0.8594249201277955,0.8805237315875614
