iter	Logloss
0	0.6858532759
1	0.6756660074
2	0.6661752499
3	0.6566999298
4	0.6496510034
5	0.6436175581
6	0.6348244111
7	0.6260458926
8	0.6172217164
9	0.6092517916
10	0.6034986963
11	0.5955227298
12	0.5878365682
13	0.5814168
14	0.5739404308
15	0.5685315736
16	0.5634108138
17	0.5568038192
18	0.5501926442
19	0.5425338729
20	0.5383486235
21	0.5322908998
22	0.5262556151
23	0.5177690125
24	0.5140604931
25	0.5067241644
26	0.5006982873
27	0.4962535829
28	0.4894079846
29	0.4838508107
30	0.4800181709
31	0.4767271756
32	0.4732726052
33	0.4704405927
34	0.4626852678
35	0.4581454008
36	0.4537199441
37	0.4492183086
38	0.4450762006
39	0.4408954584
40	0.4342080268
41	0.4298715993
42	0.4259525955
43	0.4234708944
44	0.4194851225
45	0.4158965295
46	0.4126739881
47	0.408900839
48	0.403929715
49	0.3998432747
50	0.3972633239
51	0.3932781611
52	0.3900118197
53	0.3859135713
54	0.3838766238
55	0.38165395
56	0.3781899069
57	0.3757504274
58	0.3724638076
59	0.3697647793
60	0.3666985721
61	0.3642371611
62	0.3625029521
63	0.3599953274
64	0.3581895071
65	0.3562469279
66	0.3522673506
67	0.3489208683
68	0.3459403736
69	0.3422623284
70	0.3386053418
71	0.3361517601
72	0.3323168603
73	0.3304832771
74	0.3282198117
75	0.3260870067
76	0.3230468378
77	0.3202187095
78	0.3188075749
79	0.3167819519
80	0.3123695694
81	0.3106906105
82	0.3086250913
83	0.3069901145
84	0.3047442525
85	0.3014568671
86	0.2988170317
87	0.297266173
88	0.2953405782
89	0.2927571165
90	0.2899621117
91	0.2882122657
92	0.2870059447
93	0.2855005596
94	0.2835284243
95	0.2821073349
96	0.280465141
97	0.2785510469
98	0.2763871461
99	0.2751511455
100	0.2739327283
101	0.2729339436
102	0.2710092778
103	0.2700144543
104	0.2680651282
105	0.2667673603
106	0.2649412846
107	0.2633222003
108	0.2623487943
109	0.2602330688
110	0.258737378
111	0.2575249553
112	0.2562790023
113	0.2543402339
114	0.2521420172
115	0.2509811041
116	0.249570312
117	0.2478970378
118	0.2460996194
119	0.2450508865
120	0.2437420352
121	0.242630459
122	0.2414376825
123	0.2401942061
124	0.2384383756
125	0.2372358215
126	0.2358507419
127	0.2348334121
128	0.2338541329
129	0.2326250579
130	0.2318449661
131	0.2298085445
132	0.2284233697
133	0.2272143545
134	0.2259597709
135	0.2241619633
136	0.2232251012
137	0.2220666861
138	0.2211467179
139	0.2202150173
140	0.2188964849
141	0.2179989897
142	0.2166933002
143	0.2143188333
144	0.2134658327
145	0.2124690632
146	0.2116753546
147	0.2100858217
148	0.2092275933
149	0.2079874447
150	0.2071134018
151	0.205568007
152	0.204964756
153	0.2030437265
154	0.2020553938
155	0.2013132879
156	0.2004102004
157	0.1992333523
158	0.1982989567
159	0.1976765633
160	0.1966367849
161	0.1958443987
162	0.1950085821
163	0.1940314453
164	0.1927231457
165	0.1919279766
166	0.1913163865
167	0.1906967538
168	0.1900661256
169	0.1891456094
170	0.1885820097
171	0.1879502985
172	0.1869551683
173	0.1862266468
174	0.1851993332
175	0.1844432587
176	0.1837713346
177	0.1830657347
178	0.1824110877
179	0.1817105712
180	0.181200326
181	0.1806426924
182	0.1799003338
183	0.1792297139
184	0.1785031783
185	0.1780184524
186	0.1774389456
187	0.1767170315
188	0.176104613
189	0.1754414019
190	0.1745584789
191	0.1739537178
192	0.1734236946
193	0.1728740204
194	0.1721617883
195	0.1714554217
196	0.1706048137
197	0.1700836355
198	0.1694555337
199	0.1689542005
200	0.1678501777
201	0.1674072875
202	0.166923056
203	0.1663515952
204	0.1658014717
205	0.1653587508
206	0.1649293157
207	0.1640604687
208	0.1635691905
209	0.1631386172
210	0.1627091057
211	0.16220962
212	0.1617763576
213	0.1611849434
214	0.1607104896
215	0.1601477068
216	0.1596523716
217	0.1591855068
218	0.1586165604
219	0.1581000688
220	0.1573442636
221	0.1569691268
222	0.1557159164
223	0.1551411039
224	0.1543974385
225	0.154050654
226	0.1536089153
227	0.153219391
228	0.1527489829
229	0.1521270434
230	0.1516171411
231	0.1512464697
232	0.1507408654
233	0.150309423
234	0.1496039959
235	0.149208743
236	0.1487023494
237	0.1482642478
238	0.1475413798
239	0.1470698987
240	0.1465801601
241	0.1456670714
242	0.1452539371
243	0.1447506207
244	0.1443078314
245	0.1439186623
246	0.1434669245
247	0.1429251724
248	0.1424491038
249	0.1419917885
250	0.1415944929
251	0.1412491103
252	0.1408484233
253	0.140361028
254	0.1398603152
255	0.1394270675
256	0.1390738993
257	0.1386344761
258	0.1381460129
259	0.1377419806
260	0.137039367
261	0.1365949126
262	0.1363011277
263	0.1359179755
264	0.135572248
265	0.1351845658
266	0.1346581768
267	0.1343870287
268	0.1337309935
269	0.1332102495
270	0.1327554215
271	0.1323787664
272	0.1320906386
273	0.1316377115
274	0.13128012
275	0.1310304215
276	0.1305287457
277	0.1303437263
278	0.1297727409
279	0.1295053322
280	0.1290759366
281	0.1286311917
282	0.1280317972
283	0.1275459299
284	0.1271619334
285	0.1267461991
286	0.1265281245
287	0.1262616993
288	0.1257031368
289	0.1253576214
290	0.1250108869
291	0.1247086113
292	0.124416215
293	0.1238945736
294	0.1231373412
295	0.1227531981
296	0.1221477024
297	0.1218732128
298	0.1212726943
299	0.1209078839
300	0.1206813677
301	0.1204519072
302	0.1200217567
303	0.1195959017
304	0.1193644498
305	0.1190971054
306	0.1185229977
307	0.1182365939
308	0.1179270516
309	0.1176052146
310	0.1172866292
311	0.1169767696
312	0.1166961557
313	0.1161087476
314	0.1156533875
315	0.115286975
316	0.1149843577
317	0.1145256517
318	0.1141848533
319	0.1137173233
320	0.1133780965
321	0.11308985
322	0.1125343052
323	0.1122357545
324	0.1119236616
325	0.1115003777
326	0.1112738174
327	0.1109459343
328	0.1104645309
329	0.1099141418
330	0.1096731556
331	0.1093910074
332	0.1089843932
333	0.1085861774
334	0.1083573287
335	0.1078918095
336	0.107619579
337	0.1073717518
338	0.106972444
339	0.1067758463
340	0.1064419147
341	0.1060878585
342	0.1058109147
343	0.1055328566
344	0.1052430118
345	0.105071048
346	0.1048389138
347	0.1045047078
348	0.1041774293
349	0.1039416122
350	0.1036357797
351	0.1033410944
352	0.1028072158
353	0.1025275907
354	0.1022960843
355	0.1021274158
356	0.1018314488
357	0.1016060502
358	0.1013887442
359	0.1011297704
360	0.1009132379
361	0.1006135307
362	0.1003231675
363	0.09995821913
364	0.09966052244
365	0.09941707927
366	0.0989821409
367	0.09867700942
368	0.09837540268
369	0.09815725525
370	0.09780122532
371	0.09757979616
372	0.0972987522
373	0.096917773
374	0.09668049292
375	0.09643139059
376	0.09610723677
377	0.09585914561
378	0.09553657583
379	0.0953515418
380	0.09499400399
381	0.09475594363
382	0.09446749646
383	0.09421670124
384	0.09386041274
385	0.09367903957
386	0.09346911817
387	0.09322854121
388	0.09289785435
389	0.0926390102
390	0.09240779073
391	0.09216945077
392	0.09193150258
393	0.09170929011
394	0.09136972807
395	0.09110166667
396	0.09084906326
397	0.09067611972
398	0.09046161165
399	0.0902633311
400	0.0900269561
401	0.08981146159
402	0.0896775657
403	0.08937345507
404	0.08912691755
405	0.08898773274
406	0.08876114609
407	0.08856071645
408	0.08828024829
409	0.08803704608
410	0.0878546501
411	0.08760487965
412	0.08747300063
413	0.08724630769
414	0.08704219596
415	0.08681338287
416	0.08662830414
417	0.0863425893
418	0.0861475143
419	0.08587408975
420	0.08575684003
421	0.08549413337
422	0.08524217637
423	0.0850553405
424	0.0848821917
425	0.08469494803
426	0.08446219947
427	0.08428499589
428	0.08403461013
429	0.08388411001
430	0.08358991234
431	0.08328229448
432	0.08303276978
433	0.08284015153
434	0.08266294736
435	0.08247572746
436	0.08232421157
437	0.0821737316
438	0.08196895234
439	0.0818226222
440	0.08152019459
441	0.08142359263
442	0.0812686757
443	0.08101753713
444	0.08087919402
445	0.08067493765
446	0.08039042733
447	0.08016111667
448	0.07994216275
449	0.07969223768
450	0.07940189177
451	0.07918785966
452	0.07901799816
453	0.07879563215
454	0.07862093128
455	0.07842925086
456	0.07831195919
457	0.07797750496
458	0.07763440752
459	0.07748612583
460	0.07732063987
461	0.07716624858
462	0.07691206445
463	0.07676455454
464	0.07642600485
465	0.07628321697
466	0.0760520768
467	0.07588745357
468	0.07571633054
469	0.07549158318
470	0.07534528356
471	0.07510617212
472	0.07493810951
473	0.07480458063
474	0.07450645003
475	0.07430398308
476	0.07412405421
477	0.07399200044
478	0.07372974147
479	0.07354763984
480	0.07331663199
481	0.07314689097
482	0.07294069234
483	0.07277173816
484	0.07257202202
485	0.07241772002
486	0.07215522918
487	0.07201488043
488	0.0717241502
489	0.07159781906
490	0.07134986608
491	0.07104356764
492	0.07088805125
493	0.07069134517
494	0.07048346519
495	0.07031951985
496	0.07008643616
497	0.06985866202
498	0.06960645712
499	0.06938131174
500	0.06924259809
501	0.0690992035
502	0.06898061989
503	0.06880002114
504	0.06866026414
505	0.06849385491
506	0.06834911488
507	0.06815588885
508	0.06788804973
509	0.06762377359
510	0.06743490099
511	0.06728984715
512	0.06720522762
513	0.06698351585
514	0.06687204607
515	0.06673776859
516	0.06654491358
517	0.0664370544
518	0.06630847775
519	0.0661894482
520	0.06593229157
521	0.06574088213
522	0.06551600138
523	0.06535195013
524	0.0652129743
525	0.06502744201
526	0.06484515125
527	0.06469921669
528	0.06447443608
529	0.06435213019
530	0.06423951447
531	0.06412230758
532	0.06400782158
533	0.06381645469
534	0.06365638556
535	0.06344695351
536	0.06334631349
537	0.0632043145
538	0.06307418939
539	0.06288100032
540	0.06263871336
541	0.06252509253
542	0.06239365984
543	0.06229509605
544	0.06215684056
545	0.06196941725
546	0.06179818841
547	0.06158973185
548	0.06139353702
549	0.06125737987
550	0.0610018553
551	0.06084675814
552	0.06061030461
553	0.06044941989
554	0.06027517737
555	0.06013843689
556	0.05997088212
557	0.05979407401
558	0.05957797006
559	0.05932197109
560	0.05921899353
561	0.05904353574
562	0.0588437578
563	0.0587591723
564	0.05852271799
565	0.05830214833
566	0.05818479779
567	0.05806917221
568	0.05792056996
569	0.05769573586
570	0.05757654887
571	0.05743660714
572	0.05725436127
573	0.05715008463
574	0.05700217631
575	0.05687726356
576	0.05675465597
577	0.05659116547
578	0.05643586911
579	0.05621772247
580	0.05596748818
581	0.05584881871
582	0.05573387973
583	0.05565428871
584	0.05550757874
585	0.0553167365
586	0.05522454069
587	0.05507765127
588	0.05493837228
589	0.05485490642
590	0.05474551923
591	0.05458941911
592	0.05443806439
593	0.05422726227
594	0.05413895753
595	0.05401162831
596	0.0539206595
597	0.05374617602
598	0.05366891148
599	0.05354780257
600	0.05346557476
601	0.05336860842
602	0.05318471865
603	0.05308579665
604	0.05299618764
605	0.05281611815
606	0.05258978019
607	0.05246982543
608	0.05237290476
609	0.05216849838
610	0.05203423126
611	0.05187409417
612	0.05172677662
613	0.05165253192
614	0.05147979258
615	0.05127188033
616	0.0510885159
617	0.05101059087
618	0.0508735442
619	0.05069869771
620	0.05052977072
621	0.05038891159
622	0.0503140241
623	0.05015223412
624	0.0500471857
625	0.04996447499
626	0.04984191708
627	0.04969099567
628	0.04954408387
629	0.04941395133
630	0.04930882428
631	0.04917452803
632	0.0490321759
633	0.04892927931
634	0.04877768236
635	0.048688102
636	0.04862086904
637	0.04852696224
638	0.04833231097
639	0.0482495456
640	0.04818346747
641	0.04805558074
642	0.04792176171
643	0.04782130368
644	0.04774014396
645	0.04770235393
646	0.04758700286
647	0.04744591754
648	0.0473622732
649	0.04726805914
650	0.04720360769
651	0.04702655794
652	0.04691082156
653	0.04678178049
654	0.04672395899
655	0.04665526159
656	0.04658002077
657	0.04646076444
658	0.046375078
659	0.04631435588
660	0.04615539092
661	0.04606330414
662	0.04596219276
663	0.04584710621
664	0.04573973815
665	0.04565537259
666	0.04554751273
667	0.04547356513
668	0.04541464709
669	0.04531369804
670	0.04521408846
671	0.0451458761
672	0.04502903975
673	0.04492267172
674	0.04470354372
675	0.0446331411
676	0.04455416382
677	0.04442303517
678	0.04431722064
679	0.04420699899
680	0.04414369377
681	0.04407353466
682	0.04396367983
683	0.04390020689
684	0.04381942563
685	0.04369205114
686	0.0436057489
687	0.04350884319
688	0.0432373033
689	0.04316768341
690	0.04309999444
691	0.0430103293
692	0.04294695093
693	0.04282719899
694	0.04271461066
695	0.04257449515
696	0.04249314043
697	0.04237837015
698	0.04231196823
699	0.04222571889
700	0.04215056384
701	0.04205382653
702	0.04195734064
703	0.04187972591
704	0.0417787973
705	0.04170751581
706	0.0416272819
707	0.04156329321
708	0.04146711449
709	0.04137821947
710	0.04127978183
711	0.04119037565
712	0.04105977263
713	0.04099969985
714	0.04087318369
715	0.04076752211
716	0.04069950768
717	0.04062328317
718	0.0405474954
719	0.04046149465
720	0.04026668046
721	0.04013494931
722	0.04003653045
723	0.03991407415
724	0.03984330843
725	0.0397697783
726	0.03970113282
727	0.03957635326
728	0.0394978711
729	0.03943493036
730	0.03934282304
731	0.03924043253
732	0.03917812617
733	0.03907553127
734	0.03895710148
735	0.03885823943
736	0.03874841266
737	0.03857019976
738	0.03847367779
739	0.03836366023
740	0.03822000531
741	0.03813978881
742	0.03808157106
743	0.03795801537
744	0.03789529368
745	0.03780654447
746	0.03767018224
747	0.03757407374
748	0.03744417903
749	0.03739018573
750	0.03723357142
751	0.03718635359
752	0.03706110942
753	0.03697254621
754	0.03690243237
755	0.03680429154
756	0.03676032414
757	0.03668008582
758	0.03661694441
759	0.03657019481
760	0.0364469545
761	0.03635763848
762	0.03625746239
763	0.03619217384
764	0.03611841468
765	0.03607388869
766	0.03600606555
767	0.03595261089
768	0.03585909839
769	0.03576558452
770	0.03567331301
771	0.03559941498
772	0.03551087954
773	0.03539344754
774	0.03532827849
775	0.0352895078
776	0.03521277398
777	0.03515375942
778	0.03508322976
779	0.03501679919
780	0.03491191359
781	0.03483192191
782	0.03477242601
783	0.03472435699
784	0.03462801555
785	0.03455568455
786	0.03448685141
787	0.03443233981
788	0.03434841118
789	0.0342364542
790	0.03415064151
791	0.03406871216
792	0.03397309653
793	0.03389725595
794	0.03382165868
795	0.03378469148
796	0.03373847465
797	0.03361711471
798	0.03355653996
799	0.03342518247
800	0.03336844843
801	0.03328412766
802	0.03317804704
803	0.03308169621
804	0.03301366848
805	0.03295574802
806	0.03288139918
807	0.03279650749
808	0.03275889505
809	0.03266618367
810	0.03261806439
811	0.03254856899
812	0.03249546775
813	0.03245923791
814	0.03242037568
815	0.03235572337
816	0.03230798978
817	0.03224318765
818	0.03212994137
819	0.03204282197
820	0.03197723456
821	0.03193550348
822	0.03188668909
823	0.03180071699
824	0.03170336417
825	0.03164913461
826	0.03159466134
827	0.03152596589
828	0.03147863716
829	0.03129654287
830	0.03122330866
831	0.03116857781
832	0.03112493136
833	0.03105361604
834	0.03094838094
835	0.03091783128
836	0.03088608993
837	0.03082040375
838	0.03076763032
839	0.03071158533
840	0.03067254218
841	0.03061016511
842	0.03051787659
843	0.03048658351
844	0.03043469647
845	0.03034989085
846	0.03029314234
847	0.03023838743
848	0.03016786697
849	0.03009207822
850	0.03004443205
851	0.02999745499
852	0.02993040265
853	0.02988427247
854	0.02984511764
855	0.02979853625
856	0.02973717837
857	0.02970205632
858	0.02964627283
859	0.02959020359
860	0.02950972236
861	0.02946019251
862	0.02941228289
863	0.02935865612
864	0.02929181521
865	0.02922974012
866	0.02919155501
867	0.02913905403
868	0.02904410085
869	0.028967129
870	0.02893323855
871	0.02886771882
872	0.02882513538
873	0.02877956125
874	0.02870593353
875	0.0286726977
876	0.02864477261
877	0.02859537635
878	0.02854044952
879	0.02849293929
880	0.02845675834
881	0.02839575448
882	0.02832678814
883	0.02828707374
884	0.02824948556
885	0.02820923898
886	0.02816228205
887	0.02812977772
888	0.02804304206
889	0.02800830864
890	0.02793825915
891	0.02785723829
892	0.02781303228
893	0.02778770065
894	0.02774967005
895	0.02770805066
896	0.02766101609
897	0.02761232941
898	0.02757644125
899	0.02753263463
900	0.02745323205
901	0.02740627454
902	0.02738089069
903	0.02734862633
904	0.02728940934
905	0.02722411668
906	0.02713977714
